G1,G2,Study Time,Chocolates from Gabor,Attendance (%),Sleep Hours,Internet Usage,Final Grade (G3)
8,11,6,1,71,6.513905693943476,4.992966361913757,7.0
6,4,5,2,77,6.451777087383968,5.838779385516944,3.0
12,14,6,3,69,8.981921962817028,5.2843696803754705,12.0
8,10,1,3,82,6.785409404790569,1.588219940796626,7.0
6,3,5,4,59,6.334278197888802,4.6986516604277035,4.0
18,19,9,4,89,7.3219000268666985,2.5983341622027236,15.0
10,11,12,0,81,5.355069576431074,5.942079947060383,11.0
10,7,10,1,99,8.846662943819252,3.4267949157994355,10.0
14,15,14,4,82,7.539840182364133,1.6121694917947051,14.0
8,11,2,3,51,8.019351279763391,4.625927740136953,5.0
10,13,1,2,82,5.681911752695671,2.615055991931069,12.0
17,18,14,3,82,6.637911412020816,5.985390785408309,13.0
19,21,10,1,90,6.690756453584758,5.89891228927261,16.0
6,7,13,3,62,8.287225775604348,4.280670090102904,8.0
14,17,11,0,79,5.004946719037638,1.6491322447585879,13.0
16,15,9,1,82,6.20341243341302,4.434304988375145,14.0
6,6,10,2,62,8.924945497377216,1.465152432300136,9.0
14,12,9,0,75,6.8995461740248745,1.1468207955119616,12.0
18,17,9,1,71,6.5301051209760335,5.1147922311074305,12.0
8,9,6,2,88,5.479316008070585,2.0487647384184067,7.0
18,20,8,0,51,8.896658514512062,2.8951356310954868,13.0
19,16,14,0,87,5.080105423703298,5.8672869498808655,12.0
19,20,11,1,88,7.948720900028972,2.6842025093055164,20.0
12,14,13,4,75,8.074399219154033,2.4824489064165762,11.0
18,18,1,0,95,5.974626864255466,5.591039998113876,13.0
11,12,10,0,99,7.686233774452149,1.5537422265947907,11.0
16,19,4,2,64,5.37171657751756,4.797912050573159,12.0
13,10,1,3,83,6.02818906572832,5.94032783326387,11.0
18,20,8,1,91,8.15160795316906,5.506480053873244,14.0
12,14,1,1,93,8.45874476813416,4.2583395935321295,8.0
9,11,3,4,98,7.433945650639165,2.57030397496366,10.0
17,17,13,4,89,7.02735372728193,2.2716099058915837,15.0
6,7,4,1,60,5.637216082475922,5.0962755243573055,6.0
19,19,8,4,52,5.252436132316601,5.399109569758476,16.0
9,7,6,2,55,5.470596113894235,3.6271745627284644,5.0
12,10,14,1,58,5.909429200384395,2.2216997039323307,12.0
14,15,10,4,55,6.366698007587683,1.564716042055868,12.0
13,16,12,1,58,6.5236381020439485,1.4358973391591558,13.0
16,16,7,3,88,6.385287074356015,4.5953872367692785,14.0
16,13,14,0,80,5.956221328789063,3.1005936392386246,12.0
16,18,8,1,81,7.038896987006792,5.526799371389352,12.0
17,19,2,0,90,8.301144432931586,4.698356503633819,10.0
13,14,13,4,99,6.118814153885917,1.9563020895729335,13.0
17,20,10,0,61,8.769548076408933,4.068887094078495,16.0
19,17,14,1,57,8.493346646895391,3.1775272719907965,12.0
17,15,11,3,57,5.647056845408438,3.886248653843065,11.0
5,7,8,4,99,8.145103827028379,4.690345616692586,6.0
13,14,3,1,77,7.298349529271066,5.030979405018954,9.0
11,11,7,4,69,7.266301448685674,5.218686632033622,7.0
13,11,3,2,96,6.564171052232698,2.269874372860124,7.0
12,12,7,0,56,7.004611996728039,1.1555779995867885,9.0
5,8,14,2,60,6.588715109716844,4.696473675823865,5.0
16,14,11,1,69,7.158930475039771,1.5317186312788729,10.0
12,10,12,3,65,7.511800211090543,2.5745979430648385,8.0
12,11,13,4,53,7.697215225636194,1.0190856706217357,10.0
19,17,2,0,55,7.129924770237705,4.4083474120081005,12.0
15,12,10,4,71,7.885688269314927,1.8356600573561064,14.0
7,8,6,1,75,5.565112197102023,4.27641204845829,10.0
5,6,3,4,52,5.847929963608954,5.958713085839194,9.0
12,12,3,0,90,8.27494001629708,1.3633543580500813,10.0
7,10,9,1,91,6.290111911385661,1.3853900597573034,10.0
7,5,7,4,63,5.0915752999044805,2.7019004633333745,8.0
5,2,5,3,60,5.615164598672124,5.3319325712567105,5.0
15,15,12,1,67,5.894457737985245,2.0776493439566592,16.0
9,8,10,1,61,8.829291551578349,2.8018890996517376,9.0
14,14,7,3,72,7.292165715723398,1.342527033134898,14.0
11,11,9,2,61,8.73092296190502,4.815776456294447,8.0
14,12,1,0,62,7.3006534019865,3.0415317137972555,7.0
13,12,7,2,74,6.917417760551407,4.796243665304214,10.0
16,16,6,4,94,6.254910764776384,5.518039221733975,13.0
11,8,10,3,100,7.425483777733502,2.163815735506444,9.0
13,10,14,2,68,5.556792098470119,5.0369801516997565,15.0
12,13,12,1,95,8.593046509170824,1.2954694503912663,12.0
16,15,9,4,85,8.317329620565134,5.494236940901237,12.0
6,5,1,4,94,6.270125791506948,4.253842737793737,6.0
5,6,13,2,57,8.811190110405178,5.371133620691758,7.0
11,11,4,2,78,8.300803069662273,1.0009419977829095,10.0
11,10,9,3,81,7.665227543340158,1.8454053517799625,7.0
18,15,4,0,100,5.487047644501099,2.9487969371324603,13.0
12,9,10,2,93,6.9129360921922895,2.897514516873593,12.0
9,7,3,2,67,7.024430219387003,2.133651914617553,10.0
7,6,9,1,55,5.93020543346152,2.9080596993360004,7.0
16,16,13,4,67,5.319861577437208,1.6442435600012741,16.0
12,13,2,0,68,8.10689452188677,3.06380564633013,6.0
10,11,4,1,71,5.48814020849758,5.011771645796321,9.0
15,15,6,3,86,7.377163002247099,3.395350315516756,12.0
7,10,2,3,81,8.745796695534642,1.090000444726075,7.0
5,7,8,2,90,8.50442077039217,3.107220207896237,9.0
7,5,8,2,52,6.1110104949970445,1.1358750804542208,9.0
9,10,1,3,77,8.405794550205062,5.831217053533991,8.0
19,18,12,2,59,5.001330024481957,1.6372697971143448,15.0
18,16,3,0,100,5.070751238453029,4.538441631653093,8.0
7,6,10,2,84,7.41021265537146,5.863881614460429,9.0
5,8,9,4,78,6.459192876578118,5.13019525833286,6.0
9,6,5,2,64,6.545843364636589,4.4965768756310185,5.0
14,12,6,1,82,7.25776436271553,5.197304547503834,9.0
11,12,4,0,56,5.767129822367442,5.908993466303138,9.0
19,17,10,1,61,5.847021402661913,4.106722486267648,15.0
18,16,2,1,98,6.938406348075459,3.7959240341466325,11.0
11,9,11,4,79,8.017014177375453,4.141190552316407,12.0
15,17,8,0,70,7.477991005630351,3.663379433807775,8.0
13,11,11,0,80,6.189420192947356,4.175445529548594,8.0
19,18,13,0,73,6.721348710035684,3.2492110398627965,12.0
19,16,6,0,69,5.682659034199993,2.0922159144165358,14.0
14,17,5,0,86,5.298519257348326,1.6012361325583782,12.0
14,14,9,4,53,8.130784162976596,1.341704677661302,13.0
16,14,1,2,77,6.061549636752778,2.3165789187660004,11.0
17,18,5,1,93,5.711065551404992,1.2306178216786692,16.0
7,5,6,0,69,7.766472222277278,3.835853899596928,5.0
19,20,5,2,73,7.472206697148744,2.4191422351176013,11.0
11,10,6,2,99,7.532758504053856,5.122674040435161,11.0
5,6,6,1,98,5.9155784193864545,1.3712043649419323,6.0
8,8,7,4,100,5.9305821542507235,2.13175747170743,11.0
17,14,4,3,81,5.8832105191425565,4.65123073545073,11.0
8,9,14,3,90,5.695010382649178,3.9940414819174572,8.0
18,19,11,2,85,7.622894690246625,1.3224563562458376,16.0
9,6,14,1,83,8.392063540997606,5.3861972858110025,8.0
11,11,14,3,85,7.897269878706645,5.3863088141308975,11.0
11,9,14,2,51,8.168374535042172,2.652040019378869,13.0
17,18,8,4,64,6.619193716340799,2.7020292167478237,12.0
19,16,7,3,83,7.616303181487993,5.94514179175087,13.0
15,14,9,2,85,6.416944961779098,4.130880857965691,10.0
17,14,7,2,55,7.10201848787456,3.6565826028402957,6.0
8,7,3,0,88,6.926539386139449,5.190760917759622,5.0
17,17,3,4,91,5.707548580575418,2.426451691786582,13.0
11,9,8,0,100,6.548315041342523,3.1459129669817845,9.0
15,12,5,1,100,8.855289101929404,2.338883377441671,10.0
7,10,4,0,61,5.994321030859768,4.945804232943657,3.0
10,13,8,0,52,5.535214945117955,3.86674672817609,7.0
16,18,6,3,94,6.674322486495742,4.2941253507003525,15.0
6,7,2,2,67,8.161350943440592,2.2615362491970328,4.0
14,14,4,4,89,7.328592919119889,2.1011265068865757,15.0
17,14,12,0,70,7.723899308952978,3.4418731449146938,14.0
18,21,11,4,64,5.758779392698709,4.6878287454641345,15.0
13,14,4,0,82,7.475792772030886,3.626198787600801,8.0
9,12,6,1,84,6.2940015796458955,1.163228387728343,11.0
10,7,6,0,75,8.33721346381907,5.3427575316014435,6.0
16,15,1,3,57,7.517195224042945,1.323434467575658,8.0
16,13,14,2,85,5.795425111101183,5.7791224186037615,13.0
16,18,8,1,97,5.258466719376345,1.1257097913863636,14.0
16,13,6,0,79,5.170532837148131,4.472252280653544,12.0
8,5,3,4,72,6.485634270600563,1.4110353185589082,8.0
18,20,14,1,91,6.063404546617254,5.553382897175698,13.0
18,18,9,1,93,7.584360493850032,3.322166181127714,16.0
15,12,2,0,63,6.997335339914473,1.6876188740850768,11.0
14,16,11,1,63,6.064077112021523,2.704078498949233,12.0
11,12,8,4,51,5.5969511118007045,1.82412337673381,11.0
16,15,10,1,86,5.508799050749799,1.8529095577854502,9.0
13,12,3,4,54,8.45864156856167,5.740541600857211,8.0
11,8,13,0,87,5.973911873619469,3.226230561423941,10.0
18,18,12,2,94,7.606842591643874,4.944011319526798,13.0
5,5,5,1,90,8.242743711945065,4.198027805888409,2.0
5,6,6,2,96,7.456325244738944,4.382131811691961,13.0
13,10,10,4,63,8.438260926587784,1.6584671923601926,8.0
15,14,6,1,88,6.569574886113898,2.1709222340774286,15.0
18,18,4,3,74,8.824888762595794,4.933751675772185,12.0
13,10,3,2,69,5.532580016712387,5.853831032373915,8.0
8,11,4,1,51,5.408598118630152,2.3133782129932587,6.0
17,17,1,2,88,7.634768584829774,2.357843823755199,13.0
13,15,4,1,55,8.771324565653046,3.3644856640545244,7.0
7,10,1,0,66,8.235533846545312,5.91920156427719,2.0
11,11,12,2,74,5.305667437752206,2.344794729132355,13.0
10,9,1,3,77,6.1174708557388655,3.0348595481713194,6.0
12,10,10,3,51,8.721275539351295,5.457400078117534,11.0
15,18,14,4,84,6.012233731203138,1.01460516310681,13.0
13,14,6,1,86,8.124681695147677,1.1988298249428477,12.0
18,19,5,2,54,8.300528783714816,4.020358385356096,16.0
9,8,14,4,50,6.981808413843927,5.536900823564235,8.0
5,5,11,2,89,6.545395639393262,2.194283302009638,3.0
7,4,4,1,61,6.800497729679039,3.348208873403545,8.0
14,14,13,3,85,5.907858777461456,3.2523265082890913,14.0
16,15,11,0,94,8.557563664515378,3.364856730477551,11.0
12,13,3,3,72,6.802478626919031,4.112598478648726,9.0
19,19,1,4,96,8.5298377618244,3.348718814953419,12.0
15,16,6,0,80,5.422773919625096,3.2373407066122892,13.0
10,13,2,4,60,8.953101084000526,3.3714421021563026,9.0
12,9,8,1,59,6.773092349774473,3.9543372063552074,5.0
13,16,10,0,52,5.191323281576421,3.685037441756792,11.0
8,9,5,4,63,5.15208739294982,5.270679988252521,6.0
5,6,7,1,65,7.984829029927354,1.247484267468333,4.0
18,16,10,3,59,7.636142136814723,5.166585357365062,12.0
5,3,12,1,78,8.20852223251035,5.21962306305862,6.0
14,17,2,2,59,5.421470135811224,2.424540107654804,8.0
8,10,13,1,61,5.142283468142193,3.314259775079253,11.0
16,19,8,1,79,7.034317157790314,3.1926924426871777,14.0
18,16,2,2,90,6.550380925931078,2.0925491717706515,11.0
11,12,4,4,50,6.847787746683823,2.983984235431582,8.0
6,5,1,4,54,8.966353635481095,1.221938860854272,6.0
7,10,5,1,69,8.882999830682682,2.389110363908672,9.0
5,6,9,2,57,8.769261558692772,5.08341087725359,8.0
9,8,1,2,92,8.135370707070695,2.4228115088144877,9.0
5,4,9,3,61,6.419365441027562,5.091033343741238,5.0
12,10,11,4,50,6.648523721051086,3.6579973230221543,5.0
5,8,8,0,69,7.1984641748756975,5.3993133868058,8.0
15,15,6,4,77,8.32213782561936,3.873897771322076,12.0
5,2,7,4,92,5.274851330073071,1.148341115323699,8.0
6,4,3,3,86,6.6971875435395525,4.3771010377354465,9.0
6,4,14,0,96,5.330470653837075,1.2242678401178433,12.0
16,16,1,3,86,7.058630346294047,3.25298509491567,10.0
10,7,5,0,61,8.595603296024942,5.64713347236557,6.0
11,12,14,1,86,8.129939698255752,1.8260196966892508,14.0
9,11,12,0,98,5.91136967017244,2.9493617647077204,7.0
5,8,12,3,98,8.90396339839517,4.649301544242392,7.0
5,7,2,4,93,7.6694015921857135,5.411292780474238,5.0
7,8,14,0,77,5.041710797589612,4.35471502371254,7.0
18,16,5,0,96,6.021653938740878,2.290866270955846,11.0
6,3,8,2,64,6.042853199679666,4.373039264581081,4.0
9,7,11,4,55,5.27701722514344,2.48363820552045,7.0
16,15,9,1,93,8.839306072303716,4.592146149093676,13.0
14,12,2,3,69,6.913021178303695,5.770165637925203,12.0
10,8,12,1,99,8.583258389487527,4.606967255531441,12.0
11,12,3,4,63,6.288862013778513,5.314402514562062,8.0
8,9,3,0,51,5.5009342817313085,1.010519215879417,8.0
11,12,1,0,58,6.897344439624856,4.587860623657972,7.0
15,17,8,4,86,5.455826538857268,5.147937784326252,12.0
12,11,6,0,69,6.94406201191016,1.2027936877234071,10.0
15,16,12,0,75,8.68118872487763,5.357988636441153,10.0
5,2,13,0,78,7.083072567336851,2.2834711415502293,5.0
19,21,8,3,50,7.4659989075803335,4.326460509890277,12.0
10,10,11,3,84,5.626553747895233,5.0017743951170335,9.0
12,9,9,2,55,5.174942503519878,4.313322565296778,9.0
9,12,5,1,86,5.443231848719228,1.4614239603662862,12.0
8,11,14,4,54,7.394126302737463,3.981607594301842,10.0
6,3,12,4,82,5.380046795969219,3.747918283610718,5.0
10,11,14,4,98,6.503971559765246,5.5016063403713575,14.0
10,10,3,2,100,7.200367761832624,3.021198648221046,7.0
15,15,5,3,63,6.554611194519389,2.6054054854352504,8.0
19,21,5,2,61,5.654735205861206,4.7492538221823315,14.0
5,5,5,4,91,6.095165230056426,3.0633766304169834,6.0
13,16,3,1,69,8.713270131394308,4.2304808750253144,14.0
16,15,11,0,99,7.7039291023454215,4.2322504506230345,13.0
15,16,14,3,73,6.984191354719546,5.440195321800589,13.0
10,10,10,3,92,5.050859559947574,3.993462011595487,8.0
17,19,14,2,83,8.969661601957881,3.5107680498099345,15.0
7,10,4,3,74,7.685819739578573,1.694356631982585,11.0
8,7,9,4,99,6.267689909379779,1.5786880333935267,10.0
16,14,13,4,78,8.517074639991353,1.771607826415397,12.0
15,13,10,2,88,6.033726481167273,1.8592424066354725,13.0
8,7,9,4,80,7.176066316731006,4.189385463318169,8.0
7,10,2,1,96,7.5442830549193,4.7049062513728925,7.0
14,16,8,2,92,5.884253485814914,3.6499576146320933,11.0
7,6,8,1,99,8.913589115202385,5.1450886627274555,6.0
19,20,7,0,72,7.99276762391599,5.956316133668166,12.0
7,8,8,1,93,7.23125290204428,5.10006314559678,9.0
8,6,14,0,87,5.722378392701204,4.474411868379796,6.0
11,11,3,0,69,5.215432827992105,3.6624634971857333,6.0
8,10,13,1,72,6.280239330083933,3.244265358373541,7.0
13,11,6,2,94,8.012749343653612,1.4219619027227117,11.0
5,5,1,4,65,6.0773251932081,2.996843741973455,6.0
12,12,7,4,99,7.1582248819820204,5.550673183910671,10.0
11,12,1,0,91,7.911788706922973,5.040113149532765,6.0
6,9,9,0,57,5.431774858585857,2.080256825058436,10.0
12,9,1,2,99,7.741192064463494,3.3330389234860793,4.0
5,8,1,3,70,5.367483550840179,5.083616012792723,7.0
15,12,7,1,50,8.860518968507986,1.3369227739276126,13.0
16,15,2,0,57,6.953576520259759,2.9369629283432968,3.0
13,14,14,4,78,5.602704430839509,5.259206184369738,14.0
13,13,5,2,81,6.369534544134186,3.0194893208506186,10.0
6,8,8,1,87,6.653665797181046,1.3880732236572042,8.0
11,8,8,2,54,8.032740044306149,3.7126718426612575,8.0
19,22,3,1,96,7.973695144306437,5.308712474591477,15.0
18,18,7,1,71,7.447762021349324,3.9514277147657983,13.0
14,11,3,0,96,5.423722850233972,2.131395541071159,9.0
7,4,6,2,83,5.606277486350694,2.9211981006869068,4.0
11,8,6,2,50,5.3750276825822265,3.2506168059096607,12.0
16,18,3,4,75,7.3086911331502,3.896331769102634,13.0
14,15,7,4,92,8.508553766045615,4.796755128763065,17.0
13,15,3,0,59,6.735202049019087,1.494368088203177,13.0
8,6,8,0,79,5.643392695830984,5.448260165087832,2.0
16,16,10,3,99,7.232169300595868,1.061548515080378,12.0
5,6,4,4,67,8.247008867462839,2.8502616733712762,5.0
6,7,13,1,66,7.96684824605172,1.1371015498632882,8.0
5,6,1,2,75,8.525803118700086,2.9648711267264565,6.0
18,21,4,0,57,6.111608388995471,3.6290629943666186,13.0
16,17,14,2,96,5.7758154690711,3.558406932907559,16.0
9,11,7,2,89,8.519265943767754,1.8281417351413267,12.0
9,10,11,3,98,7.630241251112093,4.2287025504780615,12.0
15,14,4,4,61,6.243715720030217,1.223892252523341,11.0
11,11,13,0,76,7.969392202290036,4.809534100662077,8.0
13,14,6,2,57,8.260473537921472,5.733222169967731,10.0
13,13,9,0,74,7.459912961364529,2.6988441357555892,11.0
7,6,1,1,95,7.75153643951966,3.58619690857166,5.0
7,6,13,3,53,6.501039617770665,2.894551390294072,6.0
7,7,5,1,82,7.154782669372157,1.0335519515202998,8.0
8,5,11,0,50,7.0966366829046486,2.92937251447558,6.0
12,10,7,0,68,8.392191164523087,4.958601296306732,7.0
10,13,1,4,80,8.35985592112873,3.979944210917409,9.0
12,9,14,2,65,8.330721877388173,1.5062995730757947,10.0
5,2,4,2,63,5.044126457049863,5.235697448468925,3.0
12,14,6,1,97,7.998181937875553,3.6554267244262144,7.0
8,11,2,3,54,8.034705560444019,5.208616808723381,7.0
15,18,10,2,90,7.713515291420567,3.901107593925147,14.0
5,2,5,4,75,8.02505863156581,3.7984422241896993,6.0
12,13,11,1,77,8.367881485986835,1.526295925985062,13.0
8,10,10,1,51,6.881276216407143,1.8367986656931397,7.0
10,12,1,4,99,7.008200853953788,5.860126282482955,6.0
12,11,6,3,55,5.498856227645562,2.1424337337738537,9.0
8,11,6,4,58,6.541503532189447,5.88726058995184,7.0
18,15,13,3,82,7.573460719647137,3.6595635326213167,13.0
7,6,4,4,90,8.121599104589098,1.6789452353196856,8.0
18,18,13,4,74,5.868836390764843,1.4965110137684647,15.0
13,11,8,0,97,5.551291596636942,2.0443203535287,7.0
7,9,4,1,62,7.652168018001969,5.628186650126679,5.0
13,13,8,4,58,5.007519534099643,3.070751121641134,12.0
17,17,13,4,62,5.713490337229319,2.977171339964572,16.0
6,7,8,2,80,5.116285521375815,2.56603130535087,8.0
18,16,5,1,90,5.667540471419484,1.735309252832942,13.0
6,6,13,2,60,5.725277119702021,3.439255985962032,7.0
6,6,4,1,53,6.550694379001577,1.6502389125556935,6.0
10,8,12,2,83,6.609308498746223,5.177401181911638,9.0
7,5,13,4,87,8.497049882440951,2.851984931376532,9.0
17,17,2,4,95,7.040438849995301,2.8740178389089817,11.0
13,11,11,0,53,7.893619062449146,3.3700321424157793,9.0
8,8,3,2,87,5.416549431681149,3.220638565828758,8.0
5,5,3,3,68,5.901755021854775,5.974289865296607,6.0
8,9,4,0,55,7.811773763914707,3.7269056060915124,4.0
5,2,4,2,83,5.211215841874113,1.4410085189493533,5.0
18,18,10,2,67,6.9463906489750125,4.03438670788465,11.0
9,8,11,0,62,7.397475862651735,1.7579214643493999,8.0
8,10,11,4,90,7.408582576209924,1.1546882236567098,9.0
12,15,5,2,72,5.091731245072168,5.85371076838624,13.0
12,9,4,4,68,6.288432016916742,4.867694457672819,9.0
11,8,11,0,94,7.545962604196616,5.900544962068834,9.0
7,4,14,4,60,5.595998944596974,3.389392240111212,12.0
5,6,10,1,50,7.7816625933122126,3.6612876557448804,4.0
5,5,8,3,73,7.983700835254698,1.841684779595651,8.0
16,17,6,2,56,8.927876761784582,2.234537133337928,10.0
15,15,6,3,74,5.839367979425638,5.192746074514141,12.0
7,8,8,4,70,8.30052267066446,2.7809282355879708,12.0
10,11,7,2,64,7.081186307674616,5.134074868982095,7.0
11,13,10,4,50,6.493850384576694,4.545068621435159,9.0
10,9,14,1,61,5.489507029300712,1.8858546263593277,9.0
18,19,11,0,56,7.94202242595015,3.537231830598711,17.0
18,20,12,2,64,5.943430396574748,4.386936607593585,16.0
10,8,10,1,70,6.4856880074921825,2.1751860740191256,7.0
10,9,13,1,68,5.250168907589474,5.153442552600384,11.0
17,18,8,2,78,8.205467663278077,3.724138287725934,10.0
7,10,14,4,74,8.066354095886574,1.826210252213016,15.0
10,7,2,1,82,7.93446332016925,3.914922130823012,8.0
12,10,9,3,98,6.197774041967547,5.99856902077957,13.0
15,13,1,1,81,5.693920297063829,1.7526074583170677,6.0
15,17,8,4,98,7.550213057880919,5.08378465059764,14.0
6,4,12,4,84,6.984665536452878,2.03654501593779,8.0
9,8,11,3,93,5.713009867618567,4.911941647300436,7.0
18,19,12,1,87,7.743645084199455,4.672889615607066,11.0
5,6,12,4,75,8.964505727285214,2.5024469280021617,10.0
16,19,4,2,60,7.98887835096815,2.629115587822249,14.0
19,16,4,0,84,7.959945546742447,4.962606959814596,14.0
5,7,5,0,57,8.801251011722368,3.307227559436563,4.0
9,6,8,0,95,5.811745470299609,4.654090143559044,6.0
16,14,5,1,63,7.2621998596857615,1.7399207368291738,8.0
17,20,8,3,59,8.918586860135534,5.262788909507767,17.0
7,4,10,4,51,5.661176443880699,4.554423583411595,7.0
8,7,1,2,95,7.801007837778084,5.534714044174169,7.0
7,8,12,2,58,7.343240583887608,1.6618618951748623,10.0
5,3,10,1,52,7.345916368754828,3.965072501802988,8.0
5,8,9,0,70,7.7906825100803,3.995602925201626,4.0
16,13,6,1,75,8.718467691502736,2.767303702733912,12.0
16,18,3,3,57,8.130327759405352,3.2923321228462887,12.0
18,17,13,3,97,5.22454441366484,1.1899078164492674,19.0
17,16,14,4,51,8.410912079502845,4.72930019313506,13.0
18,15,8,4,55,5.902165319702931,3.7466123970158702,15.0
9,10,9,3,77,6.507656658945487,1.288705259345869,10.0
10,7,6,3,78,6.846931254449529,4.403779464802428,8.0
7,5,11,3,75,6.923624003012279,3.3339103861559396,8.0
16,13,7,1,74,6.740721597021427,1.172306297125,14.0
13,12,1,3,61,8.749413176863458,5.848038634240477,9.0
9,12,14,2,54,7.824076030656098,5.745560715447202,7.0
12,9,5,0,83,7.524682583826825,3.564512080735988,10.0
17,18,5,3,97,5.199368111131767,1.468362103529551,15.0
5,8,10,0,86,8.6156533210415,4.773106107992959,8.0
